iter	Passed	Remaining
0	2	200
1	3	193
2	5	188
3	7	176
4	9	176
5	11	176
6	13	173
7	14	172
8	16	171
9	18	169
10	20	167
11	22	166
12	24	164
13	26	163
14	28	161
15	30	158
16	32	156
17	33	154
18	35	152
19	37	150
20	39	149
21	41	147
22	43	145
23	45	143
24	47	141
25	48	139
26	50	137
27	52	135
28	54	133
29	56	131
30	58	129
31	60	128
32	62	126
33	63	124
34	65	122
35	67	120
36	69	118
37	71	116
38	73	115
39	75	113
40	77	111
41	78	108
42	80	106
43	82	104
44	83	102
45	86	100
46	87	99
47	89	97
48	91	95
49	93	93
50	94	90
51	96	89
52	98	87
53	100	85
54	101	82
55	103	81
56	104	79
57	106	77
58	108	75
59	110	73
60	112	71
61	114	70
62	115	68
63	117	66
64	119	64
65	121	62
66	123	60
67	125	58
68	126	56
69	128	55
70	130	53
71	132	51
72	134	49
73	135	47
74	137	45
75	139	44
76	141	42
77	142	40
78	144	38
79	146	36
80	148	34
81	150	32
82	151	31
83	153	29
84	155	27
85	156	25
86	158	23
87	160	21
88	162	20
89	164	18
90	165	16
91	167	14
92	169	12
93	171	10
94	172	9
95	174	7
96	176	5
97	178	3
98	179	1
99	181	0
